"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"AGTRAP",0.314274850197157,0.434377317801966,0.578694540238435,0.495526199042446,0.536314109099209,0.519991834137627,0.535080022424486,0.249917435275204,0.698366380567959,0.663340016214248,0.898292443504654,0.478794391753033,0.324653508170465,0.795194388437638,0.635058805953988
"SERPINB1",0.342821237095002,0.784329162445084,0.552245398213296,0.723637272822431,0.777670305535955,0.731962402511379,0.661975074502846,0.531713693950956,0.772787177673462,0.716326824537769,0.980564730792214,0.740880887464959,0.657456088500198,0.822698298745407,0.663689981446444
"ZCCHC7",0.352674019335916,0.862222473468395,0.413226286922353,0.594762679753015,0.582739214290302,0.554541151439632,0.547523033039598,0.535335879501438,0.560609584035906,0.535719767790303,0.590041423122484,0.550840997517845,0.485067481246059,0.421818264562691,0.411444675643575
"RAB32",0.183975978854978,0.169279923890353,0.604714832185498,0.162219872811252,0.209899616398019,0.162310694117214,0.282341950923478,0.1,0.164179915041349,0.214969564176287,0.175456184605225,0.854744874506894,0.438413739612645,0.789202377163296,0.640697074136162
"JAML",0.282797662521286,0.22068504182636,0.557398498049252,0.558394353969912,0.559350125770489,0.568723308687653,0.722134828974787,0.553473940366242,0.663872561623924,0.456004001819899,0.2532213249087,0.905322461167416,0.624027554774931,0.810052650518429,0.697786132570676
"IGLC2",2.5,2.01951135057675,0.1,0.249480356412352,0.324574916015674,0.286811836156057,0.1,0.1,0.320478690298124,0.345706862334053,0.339436830357452,1.46053610071504,0.600732878487607,0.305432398529906,0.279211430729616
"SOCS3",0.158544527960245,0.338034271171062,0.615106388922532,0.819671420527201,0.736602058564509,0.766761287328786,0.73874395616886,0.57923556704534,0.715389997187126,0.539673883389308,0.254365648874815,0.502434458291169,0.472725231418138,0.836138074871673,0.430424609977949
"UPP1",0.383608862634189,0.338028680020518,0.422344167511346,0.716547861654986,0.733589833396778,0.674157239390581,0.5299346978254,0.412735657481444,0.745420244561269,0.628072066940303,0.838044372647324,0.410819378178309,0.309609439531237,0.758267441666092,0.597670378404179
"GLIPR2",0.371599042242825,0.465641538992971,0.52585513462885,0.462414442222692,0.728414717979409,0.690035438864163,0.703863309866132,0.415111544605853,0.743748732726581,0.730048774082429,0.932454974390694,0.62789467219078,0.402011282051208,0.793345352452324,0.646325991458376
"CD14",0.399700949554447,0.228373120601776,0.660274140885625,0.202190174714759,0.207914206818085,0.261950267331843,0.1,0.224114732598258,0.206882106133399,0.265838434953835,0.254073327729289,0.528390879195444,0.39564044109398,0.79877345073478,0.933376759381777
